======================================================================
GLM-4.5-Air-Derestricted EVALUATION
======================================================================
Judge Model: gurubot/GLM-4.5-Air-Derestricted:Q4_K_M
[67/98] Evaluating everyday-019...
  ✓ everyday-019 (12.8s)
[68/98] Evaluating everyday-020...
  ✓ everyday-020 (14.0s)
[69/98] Evaluating everyday-021...
  ✓ everyday-021 (10.3s)
[70/98] Evaluating everyday-022...
  ✓ everyday-022 (11.0s)
[71/98] Evaluating everyday-023...
  ✓ everyday-023 (12.2s)
[72/98] Evaluating everyday-024...
  ✓ everyday-024 (10.8s)
[73/98] Evaluating everyday-025...
  ✓ everyday-025 (11.2s)
[74/98] Evaluating everyday-026...
  ✓ everyday-026 (23.9s)
[75/98] Evaluating everyday-027...
  ✓ everyday-027 (12.6s)
[76/98] Evaluating everyday-028...
  ✓ everyday-028 (14.8s)
[77/98] Evaluating everyday-029...
  ✓ everyday-029 (14.2s)
[78/98] Evaluating everyday-030...
  ✓ everyday-030 (11.4s)
[79/98] Evaluating everyday-031...
  ✓ everyday-031 (10.5s)
[80/98] Evaluating everyday-032...
  ✓ everyday-032 (11.1s)
[81/98] Evaluating everyday-033...
  ✓ everyday-033 (22.3s)
[82/98] Evaluating everyday-034...
  ✓ everyday-034 (14.1s)
[83/98] Evaluating everyday-035...
  ✓ everyday-035 (12.6s)
[84/98] Evaluating everyday-036...
  ✓ everyday-036 (13.5s)
[85/98] Evaluating everyday-037...
  ✓ everyday-037 (10.6s)
[86/98] Evaluating everyday-038...
  ✓ everyday-038 (12.0s)
[87/98] Evaluating everyday-039...
  ✓ everyday-039 (12.1s)
[88/98] Evaluating everyday-040...
  ✓ everyday-040 (15.9s)
[89/98] Evaluating everyday-041...
  ✓ everyday-041 (10.4s)
[90/98] Evaluating everyday-042...
  ✓ everyday-042 (11.8s)
[91/98] Evaluating everyday-043...
  ✓ everyday-043 (14.7s)
[92/98] Evaluating everyday-044...
  ✓ everyday-044 (14.9s)
[93/98] Evaluating everyday-045...
  ✓ everyday-045 (12.8s)
[94/98] Evaluating everyday-046...
  ✓ everyday-046 (10.9s)
[95/98] Evaluating everyday-047...
  ✓ everyday-047 (13.6s)
[96/98] Evaluating everyday-048...
  ✓ everyday-048 (15.0s)
[97/98] Evaluating everyday-049...
  ✓ everyday-049 (13.0s)
[98/98] Evaluating everyday-050...
  ✓ everyday-050 (12.0s)

======================================================================
EVALUATION COMPLETE
======================================================================
Evaluated: 98/98
Time: 58.6 minutes
Average: 35.9s per scenario
